In Cap,Out Cap,SW Freq,Frequency,Level
10,29.4,31000,1.50E+05,64.694
10,29.4,31000,1.52E+05,63.472
10,29.4,31000,1.53E+05,62.889
10,29.4,31000,1.55E+05,63.556
10,29.4,31000,1.55E+05,63.556
10,29.4,31000,1.57E+05,64.917
10,29.4,31000,1.59E+05,65.444
10,29.4,31000,1.60E+05,65.778
10,29.4,31000,1.62E+05,65.583
10,29.4,31000,1.64E+05,65.556
10,29.4,31000,1.65E+05,65.083
10,29.4,31000,1.67E+05,64.75
10,29.4,31000,1.69E+05,64.778
10,29.4,31000,1.70E+05,64.667
10,29.4,31000,1.72E+05,64.083
10,29.4,31000,1.74E+05,64.333
10,29.4,31000,1.76E+05,64.944
10,29.4,31000,1.77E+05,65.028
10,29.4,31000,1.79E+05,64.5
10,29.4,31000,1.81E+05,63.722
10,29.4,31000,1.82E+05,62.917
10,29.4,31000,1.84E+05,61.444
10,29.4,31000,1.86E+05,60.972
10,29.4,31000,1.87E+05,61.194
10,29.4,31000,1.89E+05,61.5
10,29.4,31000,1.91E+05,62.389
10,29.4,31000,1.93E+05,62.528
10,29.4,31000,1.94E+05,62.917
10,29.4,31000,1.96E+05,62.556
10,29.4,31000,1.98E+05,62.111
10,29.4,31000,1.99E+05,61.194
10,29.4,31000,2.01E+05,60.583
10,29.4,31000,2.03E+05,60.472
10,29.4,31000,2.06E+05,61.361
10,29.4,31000,2.08E+05,61.778
10,29.4,31000,2.10E+05,61.889
10,29.4,31000,2.11E+05,61.833
10,29.4,31000,2.13E+05,61.25
10,29.4,31000,2.16E+05,59.556
10,29.4,31000,2.18E+05,58.944
10,29.4,31000,2.20E+05,59.167
10,29.4,31000,2.21E+05,59.444
10,29.4,31000,2.23E+05,59.389
10,29.4,31000,2.27E+05,59.5
10,29.4,31000,2.28E+05,59.389
10,29.4,31000,2.30E+05,58.778
10,29.4,31000,2.33E+05,57.111
10,29.4,31000,2.35E+05,56.306
10,29.4,31000,2.37E+05,57.361
10,29.4,31000,2.40E+05,58.417
10,29.4,31000,2.42E+05,58.444
10,29.4,31000,2.44E+05,58.306
10,29.4,31000,2.47E+05,57.639
10,29.4,31000,2.49E+05,56.806
10,29.4,31000,2.50E+05,56.583
10,29.4,31000,2.54E+05,56.611
10,29.4,31000,2.55E+05,56.417
10,29.4,31000,2.59E+05,55.778
10,29.4,31000,2.61E+05,55.528
10,29.4,31000,2.64E+05,54.389
10,29.4,31000,2.66E+05,53.583
10,29.4,31000,2.69E+05,53.417
10,29.4,31000,2.71E+05,54.333
10,29.4,31000,2.74E+05,54.75
10,29.4,31000,2.76E+05,55.083
10,29.4,31000,2.79E+05,54.056
10,29.4,31000,2.81E+05,53.472
10,29.4,31000,2.84E+05,53.25
10,29.4,31000,2.86E+05,53.278
10,29.4,31000,2.89E+05,52.806
10,29.4,31000,2.93E+05,51.528
10,29.4,31000,2.95E+05,51.111
10,29.4,31000,2.98E+05,50.139
10,29.4,31000,3.01E+05,50.167
10,29.4,31000,3.03E+05,50.056
10,29.4,31000,3.06E+05,51.25
10,29.4,31000,3.10E+05,51
10,29.4,31000,3.13E+05,49.889
10,29.4,31000,3.15E+05,49.833
10,29.4,31000,3.18E+05,50.444
10,29.4,31000,3.22E+05,49.611
10,29.4,31000,3.25E+05,49
10,29.4,31000,3.29E+05,48.111
10,29.4,31000,3.30E+05,47.917
10,29.4,31000,3.34E+05,47.139
10,29.4,31000,3.37E+05,47.944
10,29.4,31000,3.40E+05,47.861
10,29.4,31000,3.44E+05,46.944
10,29.4,31000,3.47E+05,47
10,29.4,31000,3.51E+05,47.694
10,29.4,31000,3.54E+05,47.5
10,29.4,31000,3.57E+05,46.861
10,29.4,31000,3.61E+05,46.667
10,29.4,31000,3.64E+05,46.5
10,29.4,31000,3.68E+05,45.778
10,29.4,31000,3.71E+05,44.944
10,29.4,31000,3.74E+05,45.056
10,29.4,31000,3.78E+05,46
10,29.4,31000,3.81E+05,45.472
10,29.4,31000,3.86E+05,45.917
10,29.4,31000,3.90E+05,45.278
10,29.4,31000,3.93E+05,45.833
10,29.4,31000,3.97E+05,46.194
10,29.4,31000,4.00E+05,44.722
10,29.4,31000,4.05E+05,43.472
10,29.4,31000,4.08E+05,44.583
10,29.4,31000,4.12E+05,45.5
10,29.4,31000,4.15E+05,44.611
10,29.4,31000,4.20E+05,45.556
10,29.4,31000,4.24E+05,44.444
10,29.4,31000,4.29E+05,45.056
10,29.4,31000,4.32E+05,43.694
10,29.4,31000,4.36E+05,43.333
10,29.4,31000,4.41E+05,43.417
10,29.4,31000,4.44E+05,43.556
10,29.4,31000,4.49E+05,43.111
10,29.4,31000,4.53E+05,43.167
10,29.4,31000,4.58E+05,43.278
10,29.4,31000,4.63E+05,43.306
10,29.4,31000,4.66E+05,42.833
10,29.4,31000,4.71E+05,42.806
10,29.4,31000,4.75E+05,41.778
10,29.4,31000,4.80E+05,41.139
10,29.4,31000,4.85E+05,40.611
10,29.4,31000,4.90E+05,42.028
10,29.4,31000,4.93E+05,42.167
10,29.4,31000,4.99E+05,41.361
10,29.4,31000,5.04E+05,41.389
10,29.4,31000,5.09E+05,40.667
10,29.4,31000,5.14E+05,40.167
10,29.4,31000,5.17E+05,40.611
10,29.4,31000,5.22E+05,40.056
10,29.4,31000,5.27E+05,40.306
10,29.4,31000,5.33E+05,39.778
10,29.4,31000,5.38E+05,39.722
10,29.4,31000,5.43E+05,38.333
10,29.4,31000,5.48E+05,38.667
10,29.4,31000,5.53E+05,37.639
10,29.4,31000,5.60E+05,37.333
10,29.4,31000,5.65E+05,37.472
10,29.4,31000,5.70E+05,37.25
10,29.4,31000,5.75E+05,36.944
10,29.4,31000,5.80E+05,37.528
10,29.4,31000,5.87E+05,35.389
10,29.4,31000,5.92E+05,36.139
10,29.4,31000,5.97E+05,36.028
10,29.4,31000,6.04E+05,35.833
10,29.4,31000,6.09E+05,35.111
10,29.4,31000,6.16E+05,34.389
10,29.4,31000,6.21E+05,34.389
10,29.4,31000,6.26E+05,34.417
10,29.4,31000,6.33E+05,34.472
10,29.4,31000,6.40E+05,34
10,29.4,31000,6.45E+05,34.861
10,29.4,31000,6.52E+05,33.111
10,29.4,31000,6.57E+05,34
10,29.4,31000,6.63E+05,34.028
10,29.4,31000,6.70E+05,33.222
10,29.4,31000,6.77E+05,33.917
10,29.4,31000,6.84E+05,33.389
10,29.4,31000,6.89E+05,33.333
10,29.4,31000,6.96E+05,33.111
10,29.4,31000,7.03E+05,32.556
10,29.4,31000,7.09E+05,32.694
10,29.4,31000,7.16E+05,32.222
10,29.4,31000,7.23E+05,32.806
10,29.4,31000,7.30E+05,30.972
10,29.4,31000,7.37E+05,31.806
10,29.4,31000,7.43E+05,31.639
10,29.4,31000,7.52E+05,31.611
10,29.4,31000,7.59E+05,31.194
10,29.4,31000,7.65E+05,31.083
10,29.4,31000,7.74E+05,30.583
10,29.4,31000,7.81E+05,30.694
10,29.4,31000,7.88E+05,30.444
10,29.4,31000,7.96E+05,29.556
10,29.4,31000,8.03E+05,29.389
10,29.4,31000,8.11E+05,31.139
10,29.4,31000,8.18E+05,30.639
10,29.4,31000,8.27E+05,29.667
10,29.4,31000,8.35E+05,29.389
10,29.4,31000,8.42E+05,30.861
10,29.4,31000,8.50E+05,29.639
10,29.4,31000,8.59E+05,29.417
10,29.4,31000,8.67E+05,29.361
10,29.4,31000,8.76E+05,28.639
10,29.4,31000,8.83E+05,29
10,29.4,31000,8.91E+05,29.361
10,29.4,31000,9.00E+05,28.556
10,29.4,31000,9.10E+05,29.306
10,29.4,31000,9.18E+05,28.361
10,29.4,31000,9.27E+05,29.5
10,29.4,31000,9.35E+05,29.194
10,29.4,31000,9.44E+05,28
10,29.4,31000,9.54E+05,28.889
10,29.4,31000,9.63E+05,28.167
10,29.4,31000,9.71E+05,27.25
10,29.4,31000,9.81E+05,27.444
10,29.4,31000,9.90E+05,27.333
10,29.4,31000,1.00E+06,27.361
10,29.4,14000,1.50E+05,62.25
10,29.4,14000,1.52E+05,62.278
10,29.4,14000,1.53E+05,61.833
10,29.4,14000,1.55E+05,60.944
10,29.4,14000,1.55E+05,60.944
10,29.4,14000,1.57E+05,59.333
10,29.4,14000,1.59E+05,58.25
10,29.4,14000,1.60E+05,57.889
10,29.4,14000,1.62E+05,58.889
10,29.4,14000,1.64E+05,60.139
10,29.4,14000,1.65E+05,60.833
10,29.4,14000,1.67E+05,60.944
10,29.4,14000,1.69E+05,60.778
10,29.4,14000,1.70E+05,60
10,29.4,14000,1.72E+05,58.667
10,29.4,14000,1.74E+05,57.361
10,29.4,14000,1.76E+05,56.278
10,29.4,14000,1.77E+05,57.25
10,29.4,14000,1.79E+05,58.361
10,29.4,14000,1.81E+05,59.278
10,29.4,14000,1.82E+05,59.5
10,29.4,14000,1.84E+05,59.417
10,29.4,14000,1.86E+05,58.778
10,29.4,14000,1.87E+05,57.694
10,29.4,14000,1.89E+05,56.361
10,29.4,14000,1.91E+05,55.111
10,29.4,14000,1.93E+05,55.167
10,29.4,14000,1.94E+05,56.361
10,29.4,14000,1.96E+05,57.306
10,29.4,14000,1.98E+05,57.917
10,29.4,14000,1.99E+05,58.056
10,29.4,14000,2.01E+05,57.778
10,29.4,14000,2.03E+05,56.778
10,29.4,14000,2.06E+05,53.917
10,29.4,14000,2.08E+05,53.306
10,29.4,14000,2.10E+05,54.417
10,29.4,14000,2.11E+05,55.639
10,29.4,14000,2.13E+05,56.306
10,29.4,14000,2.16E+05,56.389
10,29.4,14000,2.18E+05,55.556
10,29.4,14000,2.20E+05,54.222
10,29.4,14000,2.21E+05,52.917
10,29.4,14000,2.23E+05,51.833
10,29.4,14000,2.27E+05,53.556
10,29.4,14000,2.28E+05,54.5
10,29.4,14000,2.30E+05,54.889
10,29.4,14000,2.33E+05,54.306
10,29.4,14000,2.35E+05,53.222
10,29.4,14000,2.37E+05,51.75
10,29.4,14000,2.40E+05,50.139
10,29.4,14000,2.42E+05,51.5
10,29.4,14000,2.44E+05,52.389
10,29.4,14000,2.47E+05,53.194
10,29.4,14000,2.49E+05,52.889
10,29.4,14000,2.50E+05,51.944
10,29.4,14000,2.54E+05,49.222
10,29.4,14000,2.55E+05,48.306
10,29.4,14000,2.59E+05,50.278
10,29.4,14000,2.61E+05,50.944
10,29.4,14000,2.64E+05,51.083
10,29.4,14000,2.66E+05,50.528
10,29.4,14000,2.69E+05,47.806
10,29.4,14000,2.71E+05,46.639
10,29.4,14000,2.74E+05,47.944
10,29.4,14000,2.76E+05,48.944
10,29.4,14000,2.79E+05,49.222
10,29.4,14000,2.81E+05,48.667
10,29.4,14000,2.84E+05,46.611
10,29.4,14000,2.86E+05,45.083
10,29.4,14000,2.89E+05,45.667
10,29.4,14000,2.93E+05,47.361
10,29.4,14000,2.95E+05,47.556
10,29.4,14000,2.98E+05,46.306
10,29.4,14000,3.01E+05,43.389
10,29.4,14000,3.03E+05,42.833
10,29.4,14000,3.06E+05,44.694
10,29.4,14000,3.10E+05,45.833
10,29.4,14000,3.13E+05,44.917
10,29.4,14000,3.15E+05,43.528
10,29.4,14000,3.18E+05,41.444
10,29.4,14000,3.22E+05,42.722
10,29.4,14000,3.25E+05,44.278
10,29.4,14000,3.29E+05,43.917
10,29.4,14000,3.30E+05,42.833
10,29.4,14000,3.34E+05,40.806
10,29.4,14000,3.37E+05,41.111
10,29.4,14000,3.40E+05,42.833
10,29.4,14000,3.44E+05,43.333
10,29.4,14000,3.47E+05,40.806
10,29.4,14000,3.51E+05,39.056
10,29.4,14000,3.54E+05,41.25
10,29.4,14000,3.57E+05,42.611
10,29.4,14000,3.61E+05,41.583
10,29.4,14000,3.64E+05,39.333
10,29.4,14000,3.68E+05,39.306
10,29.4,14000,3.71E+05,41.556
10,29.4,14000,3.74E+05,41.75
10,29.4,14000,3.78E+05,40.5
10,29.4,14000,3.81E+05,38.75
10,29.4,14000,3.86E+05,41.028
10,29.4,14000,3.90E+05,42.056
10,29.4,14000,3.93E+05,41.056
10,29.4,14000,3.97E+05,38.778
10,29.4,14000,4.00E+05,39.222
10,29.4,14000,4.05E+05,41.667
10,29.4,14000,4.08E+05,40.556
10,29.4,14000,4.12E+05,39.25
10,29.4,14000,4.15E+05,38.972
10,29.4,14000,4.20E+05,41.528
10,29.4,14000,4.24E+05,41.278
10,29.4,14000,4.29E+05,37.833
